Date,Close
05/11/2022,"28,315"
05/10/2022,"30,960"
05/09/2022,"31,076"
05/08/2022,"34,604"
05/07/2022,"35,775"
05/06/2022,"36,074"
05/05/2022,"36,432"
05/04/2022,"39,780"
05/03/2022,"37,633"
05/02/2022,"38,321"
05/01/2022,"38,196"
04/30/2022,"38,332"
04/29/2022,"38,559"
04/28/2022,"39,928"
04/27/2022,"39,095"
04/26/2022,"38,128"
04/25/2022,"40,140"
04/24/2022,"39,539"
04/23/2022,"39,794"
04/22/2022,"39,597"
04/21/2022,"40,647"
04/20/2022,"41,435"
04/19/2022,"41,300"
04/18/2022,"40,665"
04/17/2022,"40,295"
04/16/2022,"40,356"
04/15/2022,"40,409"
04/14/2022,"39,896"
04/13/2022,"41,245"
04/12/2022,"39,536"
04/11/2022,"39,850"
04/10/2022,"43,154"
04/09/2022,"42,459"
04/08/2022,"42,750"
04/07/2022,"43,573"
04/06/2022,"43,898"
04/05/2022,"45,707"
04/04/2022,"46,304"
04/03/2022,"46,391"
04/02/2022,"46,208"
04/01/2022,"46,175"
03/31/2022,"45,760"
03/30/2022,"47,232"
03/29/2022,"47,406"
03/28/2022,"47,944"
03/27/2022,"46,073"
03/26/2022,"44,608"
03/25/2022,"44,564"
03/24/2022,"43,914"
03/23/2022,"42,350"
03/22/2022,"42,611"
03/21/2022,"41,186"
03/20/2022,"41,308"
03/19/2022,"42,256"
03/18/2022,"41,849"
03/17/2022,"40,717"
03/16/2022,"41,252"
03/15/2022,"39,416"
03/14/2022,"38,737"
03/13/2022,"38,677"
03/12/2022,"39,103"
03/11/2022,"38,869"
03/10/2022,"39,302"
03/09/2022,"41,910"
03/08/2022,"38,545"
03/07/2022,"37,873"
03/06/2022,"38,994"
03/05/2022,"39,396"
03/04/2022,"39,410"
03/03/2022,"42,127"
03/02/2022,"43,950"
03/01/2022,"43,870"
02/28/2022,"41,650"
02/27/2022,"37,461"
02/26/2022,"39,479"
02/25/2022,"39,009"
02/24/2022,"38,396"
02/23/2022,"37,571"
02/22/2022,"37,913"
02/21/2022,"37,193"
02/20/2022,"38,249"
02/19/2022,"39,936"
02/18/2022,"39,996"
02/17/2022,"40,708"
02/16/2022,"44,091"
02/15/2022,"44,007"
02/14/2022,"42,257"
02/13/2022,"42,259"
02/12/2022,"41,910"
02/11/2022,"42,561"
02/10/2022,"43,753"
02/09/2022,"44,502"
02/08/2022,"44,264"
02/07/2022,"44,050"
02/06/2022,"41,693"
02/05/2022,"41,718"
02/04/2022,"40,647"
02/03/2022,"36,964"
02/02/2022,"36,877"
02/01/2022,"38,741"
